№,Наименование блюда,Время размещения заказа,Время приготовления,Отзыв
1,Цезарь с курицей,12:15,15,"Очень вкусно, спасибо!"
2,Борщ,13:00,20,"Нормально, но хлеба мало"
3,Паста карбонара,14:30,12,"Отлично, как в Италии!"
4,Греческий салат,15:45,10,Свежо и полезно
5,Стейк рибай,18:20,25,"Средне, ожидал большего"
6,Лазанья,19:10,30,"Вкусно, но долго ждал"
7,Суп-пюре из тыквы,12:05,12,Неожиданно вкусно
8,Куриные крылышки,20:00,18,"Острые, но вкусные"
9,Чизкейк,21:15,5,Лучший десерт!
10,Морс клюквенный,16:40,3,Освежает
